iter	RMSE
0	786893.8846
1	756910.4147
2	728303.638
3	701217.6862
4	674431.1298
5	649097.9748
6	626035.8683
7	603586.8073
8	582693.976
9	562134.2211
10	543386.4908
11	525553.1142
12	507015.993
13	491309.5315
14	476173.544
15	461929.2412
16	447892.6
17	435159.6518
18	423440.588
19	411544.641
20	400254.1926
21	390367.6172
22	381396.5974
23	372759.3004
24	365085.459
25	356852.5999
26	349188.5024
27	341963.3402
28	334774.2899
29	328587.73
30	322635.2119
31	316522.5638
32	310592.3442
33	305782.7374
34	300099.3503
35	295780.3159
36	291607.0151
37	288396.9209
38	284402.419
39	279998.8653
40	275780.7777
41	271636.0734
42	268459.6877
43	264858.9834
44	262109.7975
45	258763.1891
46	255680.5346
47	252520.2303
48	249630.5643
49	246613.4516
50	244818.1159
51	242782.2183
52	240607.537
53	238417.8333
54	236593.5314
55	234695.5472
56	232407.5888
57	231682.892
58	230143.7322
59	228482
60	227033.7079
61	226145.1804
62	224482.1026
63	223265.0651
64	221818.1505
65	220401.9421
66	220237.8477
67	219057.5023
68	217669.4291
69	216632.7413
70	215127.5173
71	214324.8805
72	213594.6601
73	212712.4088
74	211431.3777
75	210873.3066
76	209781.6239
77	208758.6553
78	208189.8993
79	207687.9728
80	206490.9172
81	205989.5823
82	204771.7553
83	204303.6643
84	203845.4009
85	202829.3143
86	202032.4037
87	201004.4811
88	200508.7335
89	199099.4783
90	198580.7008
91	197896.3761
92	196906.2506
93	196527.1428
94	195855.023
95	195120.6822
96	194351.0735
97	193942.6742
98	193660.1382
99	192731.5533
100	191844.5538
101	191697.7123
102	190981.0502
103	190295.9421
104	189719.6829
105	188568.5545
106	187952.4835
107	187438.161
108	186684.4833
109	185892.645
110	185382.8695
111	184769.2176
112	184287.5034
113	183984.2109
114	183517.4134
115	183119.418
116	182238.6523
117	181688.9555
118	180943.602
119	180715.0016
120	180237.5245
121	179941.691
122	179463.4588
123	179028.7596
124	178143.8717
125	177348.0281
126	176995.484
127	176608.1032
128	175907.7879
129	175185.7942
130	174890.9567
131	174808.6814
132	174535.9783
133	174162.9941
134	173887.3287
135	173569.0909
136	173008.5843
137	172574.0436
138	171867.6825
139	171097.9091
140	170562.0522
141	170282.132
142	169490.2597
143	168832.1866
144	168501.5798
145	167913.063
146	167232.4567
147	166933.7676
148	166705.0945
149	166408.2841
150	166164.2977
151	165987.623
152	165531.8569
153	165069.2657
154	164644.3869
155	164133.0044
156	163768.6936
157	163476.8413
158	162889.7568
159	162394.0547
160	161992.9461
161	161614.5858
162	161292.1716
163	160891.2271
164	160587.788
165	159967.8379
166	159376.446
167	158826.0123
168	158316.5654
169	157803.4948
170	157124.4986
171	156651.6273
172	156320.9888
173	155654.5364
174	155378.9362
175	155173.6208
176	154878.2179
177	154538.8715
178	154160.243
179	153817.1474
180	153525.2429
